eng,twi,count,source_files
class,fekuo,0,09_Twi-Dictionary_parallel
class,fekuw,0,09_Twi-Dictionary_parallel
class,klaase/ɔfa,0,07_hs_living_environment_twi_parallel
class,kū,0,02_english-twi-dictionary
classic,ɛsɔmbo yie,0,09_Twi-Dictionary_parallel
classical civilizations,tete aman ahorow,0,12_hs_global_history_twi_parallel
classification,Y'ahyehyɛ no akuoakuo,0,03_science-glossary
classification,nhyehyɛe a wɔyɛ,0,13_ela_twi_parallel
classify,Hyehyɛ no akuoakuo,0,03_science-glossary
classify,hyehyɛ,0,09_Twi-Dictionary_parallel
classify,kyɛ mu,0,07_hs_living_environment_twi_parallel
classroom,adesuadan,0,05_elementary_social_studies_twi
clatter,bom',0,02_english-twi-dictionary
clatter,ye gyegyēgye,0,02_english-twi-dictionary
clause,kasasin fa,0,13_ela_twi_parallel
claustrophobia,ehuu,0,09_Twi-Dictionary_parallel
claustrophobia,w'anl nnye,0,09_Twi-Dictionary_parallel
claw,aperɛ,0,09_Twi-Dictionary_parallel
claw,aperɛwa,0,09_Twi-Dictionary_parallel
claw,awertw,0,09_Twi-Dictionary_parallel
claw,awerɛ,0,09_Twi-Dictionary_parallel
claw,awerɛw,0,09_Twi-Dictionary_parallel
claw,aŵere,0,02_english-twi-dictionary
claw,bowert,0,09_Twi-Dictionary_parallel
claw,bowertw,0,09_Twi-Dictionary_parallel
claw,boŵere,0,02_english-twi-dictionary
claw,tote,0,02_english-twi-dictionary
claw crab,okóṭo apĕre,0,02_english-twi-dictionary
clay,anwene dɔte,0,06_hs_chemistry_twi
clay,dɔtɛ,0,09_Twi-Dictionary_parallel
clay,fa,0,02_english-twi-dictionary
clay,ɛfa,0,09_Twi-Dictionary_parallel
clay,ḍote nṅoṭee,0,02_english-twi-dictionary
clay brownish,koṭofá,0,02_english-twi-dictionary
clay gray,aṅwemmó,0,02_english-twi-dictionary
clay gray,eboo,0,02_english-twi-dictionary
clay red,ntwǒmá,0,02_english-twi-dictionary
clay white,hyire,0,02_english-twi-dictionary
clay yellowish,esáṅ,0,02_english-twi-dictionary
clean,ho tew,0,09_Twi-Dictionary_parallel
clean,ho tsew,0,09_Twi-Dictionary_parallel
clean,hohor ho,0,09_Twi-Dictionary_parallel
clean,hohoro ho,0,09_Twi-Dictionary_parallel
clean,omumọ-w̌ésewa,0,02_english-twi-dictionary
clean,"opp., oyiyebúru",0,02_english-twi-dictionary
clean,te ho,0,09_Twi-Dictionary_parallel
clean,tew ho,0,09_Twi-Dictionary_parallel
clean,tsew ho,0,09_Twi-Dictionary_parallel
"clean, cleanse",hohoro hō,0,02_english-twi-dictionary
"clean, cleanse",mu,0,02_english-twi-dictionary
"clean, cleanse",pra pra,0,02_english-twi-dictionary
"clean, cleanse",ṭwiṭwi,0,02_english-twi-dictionary
"clean-ly, cleanlily",fitá,0,02_english-twi-dictionary
"clean-ly, cleanlily",korak,0,02_english-twi-dictionary
"clean-ly, cleanlily",korā,0,02_english-twi-dictionary
"clean-ly, cleanlily",nea ehō afi,0,02_english-twi-dictionary
"clean-ly, cleanlily",pepēpe,0,02_english-twi-dictionary
clear,ehyereṅ,0,02_english-twi-dictionary
clear,emu da ho,0,09_Twi-Dictionary_parallel
clear,gye ani,0,02_english-twi-dictionary
clear,hann,0,09_Twi-Dictionary_parallel
clear,mã mu teu,0,02_english-twi-dictionary
clear,pefee,0,09_Twi-Dictionary_parallel
clear,te tsew,0,09_Twi-Dictionary_parallel
clear,teu,0,02_english-twi-dictionary
clear,teu mu,0,02_english-twi-dictionary
clear,tew,0,09_Twi-Dictionary_parallel
clear fig.,emu ate,0,02_english-twi-dictionary
clear the bush,ḍou ahabaṅ,0,02_english-twi-dictionary
clear-ly,fãṅṅ,0,02_english-twi-dictionary
clear-ly,fē,0,02_english-twi-dictionary
clear-ly,hãṅṅ,0,02_english-twi-dictionary
clear-ly,kroṅkroṅ,0,02_english-twi-dictionary
clear-ly,péfē,0,02_english-twi-dictionary
cleave,bata,0,09_Twi-Dictionary_parallel
cleave,fam,0,09_Twi-Dictionary_parallel
cleave,paa,0,09_Twi-Dictionary_parallel
cleave,pae mu,0,02_english-twi-dictionary
cleave to,bata,0,02_english-twi-dictionary
cleave to,fãm hō,0,02_english-twi-dictionary
cleave to,kã,0,02_english-twi-dictionary
cleft,kam,0,09_Twi-Dictionary_parallel
cleft,ɔkam,0,09_Twi-Dictionary_parallel
cleft,ɛkam,0,09_Twi-Dictionary_parallel
clement,brɛfo,0,09_Twi-Dictionary_parallel
clement,brɛfoo,0,09_Twi-Dictionary_parallel
clench,bobọ nnadewa akyi,0,02_english-twi-dictionary
clench,bɔ kuturuku,0,09_Twi-Dictionary_parallel
clench,mia,0,09_Twi-Dictionary_parallel
clergy,asofo asafo,0,02_english-twi-dictionary
clergy,asɔfo kuw,0,09_Twi-Dictionary_parallel
clergy,asɔfokuw,0,12_hs_global_history_twi_parallel
clergy,asɔfoo kuo,0,09_Twi-Dictionary_parallel
clergy man,asɔfo,0,09_Twi-Dictionary_parallel
clergy man,asɔfoo,0,09_Twi-Dictionary_parallel
clergy man,sɔfo,0,09_Twi-Dictionary_parallel
clergyman,asempa hō somfo,0,02_english-twi-dictionary
clergyman,osofo,0,02_english-twi-dictionary
clerical,osofo,0,02_english-twi-dictionary
clerics,asɔfoo,0,09_Twi-Dictionary_parallel
clerk,abaṅkyéáme,0,02_english-twi-dictionary
clerk,agǔadi-somfo,0,02_english-twi-dictionary
clerk,boafo,0,02_english-twi-dictionary
clerk,krakye,0,09_Twi-Dictionary_parallel
clerk,kyereufo,0,02_english-twi-dictionary
clerk,of court,0,02_english-twi-dictionary
clever,nyimdzefo,0,09_Twi-Dictionary_parallel
clever,obadwěmma,0,02_english-twi-dictionary
clever,onim adee,0,09_Twi-Dictionary_parallel
clever,onimdefoo,0,09_Twi-Dictionary_parallel
clever pl. m,waběṅ,0,02_english-twi-dictionary
click,bo,0,02_english-twi-dictionary
click,gyegye,0,09_Twi-Dictionary_parallel
click,tẽm',0,02_english-twi-dictionary
client,adamfo,0,09_Twi-Dictionary_parallel
client,adamfoo,0,09_Twi-Dictionary_parallel
client,adzebisanyi,0,09_Twi-Dictionary_parallel
client,damfo,0,09_Twi-Dictionary_parallel
client,odebisáfó,0,02_english-twi-dictionary
client,ɔdebisafɔ,0,09_Twi-Dictionary_parallel
client,ɔdebisafɔɔ,0,09_Twi-Dictionary_parallel
client pl. a,odebisáfó,0,02_english-twi-dictionary
client ship,adaṅ,0,02_english-twi-dictionary
cliff,abosam,0,09_Twi-Dictionary_parallel
cliff,abósám,0,02_english-twi-dictionary
cliff,mɔnkum,0,09_Twi-Dictionary_parallel
cliff,obo,0,02_english-twi-dictionary
cliff,obotaṅ,0,02_english-twi-dictionary
cliff,ɔbotan no,0,09_Twi-Dictionary_parallel
"cliff, crag, rock",abɔsám,0,17_A Dictionary of the Asante and Fante Language_mono
climate,Ewiem nsɛsaeɛ,0,03_science-glossary
climate,dabe-frama,0,17_A Dictionary of the Asante and Fante Language_mono
climate,dabew mframa,0,09_Twi-Dictionary_parallel
climate,wimhyew/wim tebea,0,11_hs_us_history_twi_parallel
climax,ano,0,09_Twi-Dictionary_parallel
climax,ntentɛnoa,0,09_Twi-Dictionary_parallel
climax,pɔ so,0,09_Twi-Dictionary_parallel
climax,pɔw,0,09_Twi-Dictionary_parallel
climax,pɔw so,0,09_Twi-Dictionary_parallel
climb,fow,0,09_Twi-Dictionary_parallel
climb -er,hãma,0,02_english-twi-dictionary
clinch,bo mu,0,02_english-twi-dictionary
clinch,mia,0,09_Twi-Dictionary_parallel
clinch,so mu,0,02_english-twi-dictionary
clinch the fist,bo kuturumǔa,0,02_english-twi-dictionary
cling,fam,0,09_Twi-Dictionary_parallel
cling,fãm hō,0,02_english-twi-dictionary
clinic,ayaresabea,0,09_Twi-Dictionary_parallel
clinic,yarsabea,0,09_Twi-Dictionary_parallel
clip,krado,0,09_Twi-Dictionary_parallel
clip,kuku so,0,02_english-twi-dictionary
clip,nkatom,0,09_Twi-Dictionary_parallel
clip,sesère ne ti,0,02_english-twi-dictionary
clip,tiā,0,02_english-twi-dictionary
clip,twa so,0,02_english-twi-dictionary
clip,twitwa,0,09_Twi-Dictionary_parallel
clip,ṭwiṭwa,0,02_english-twi-dictionary
clipper,apasɔ,0,09_Twi-Dictionary_parallel
clique,akuwakuo,0,09_Twi-Dictionary_parallel
clique,fekuo,0,09_Twi-Dictionary_parallel
clique,fekuw,0,09_Twi-Dictionary_parallel
clitoris,epim,0,09_Twi-Dictionary_parallel
cloak,ebuado,0,09_Twi-Dictionary_parallel
cloak,nkatakɔnmu,0,09_Twi-Dictionary_parallel
cloak,nkataso,0,09_Twi-Dictionary_parallel
cloak,nkatasoɔ,0,09_Twi-Dictionary_parallel
cloak,ṅkatahō,0,02_english-twi-dictionary
cloak,ṅkatakoṅmu,0,02_english-twi-dictionary
cloak,ṅṅuguso,0,02_english-twi-dictionary
clobber,obi nnetma,0,09_Twi-Dictionary_parallel
clock,dɔn,0,09_Twi-Dictionary_parallel
clock,nyansa dɔn,0,09_Twi-Dictionary_parallel
clock,odoṅ,0,02_english-twi-dictionary
clock,ɛdɔn,0,09_Twi-Dictionary_parallel
clock bird,áfèráu,0,02_english-twi-dictionary
clock bird,ògóò,0,02_english-twi-dictionary
clod,afábó,0,02_english-twi-dictionary
clod,dɔte tow,0,09_Twi-Dictionary_parallel
clod,dɔte towa,0,09_Twi-Dictionary_parallel
clod,dɔtse tɔw,0,09_Twi-Dictionary_parallel
clod,ḍote-ṭou,0,02_english-twi-dictionary
clog,adesoa,0,02_english-twi-dictionary
clog,akwanside,0,02_english-twi-dictionary
clog,dunsiṅ,0,02_english-twi-dictionary
clog,epọu,0,02_english-twi-dictionary
clog,si kwan,0,09_Twi-Dictionary_parallel
clog,si.. kwaṅ,0,02_english-twi-dictionary
clog,siw kwan,0,09_Twi-Dictionary_parallel
clone,nkuronnua,0,09_Twi-Dictionary_parallel
close,bɛn,0,09_Twi-Dictionary_parallel
close,hini ano,0,02_english-twi-dictionary
close,mua,0,09_Twi-Dictionary_parallel
close,mǔa,0,02_english-twi-dictionary
close,petsepetse,0,09_Twi-Dictionary_parallel
close,pitipiti,0,09_Twi-Dictionary_parallel
close,to,0,09_Twi-Dictionary_parallel
close,to.. mu,0,02_english-twi-dictionary
close,tow,0,09_Twi-Dictionary_parallel
close,wie,0,09_Twi-Dictionary_parallel
close end,wie,0,02_english-twi-dictionary
closely,fwe hǎ,0,02_english-twi-dictionary
closely,kétekete,0,02_english-twi-dictionary
closely,pepépepé,0,02_english-twi-dictionary
closely,pitipiti,0,02_english-twi-dictionary
"closely gyen, v.",pepé,0,02_english-twi-dictionary
closet,duadan,0,09_Twi-Dictionary_parallel
closet,pia,0,02_english-twi-dictionary
closet,pákùsu,0,02_english-twi-dictionary
closet,tseafi dan,0,09_Twi-Dictionary_parallel
closet privy,duadaṅ,0,02_english-twi-dictionary
closet privy,duasē,0,02_english-twi-dictionary
clot,bɔ towa,0,09_Twi-Dictionary_parallel
clot,bɔ tɔw,0,09_Twi-Dictionary_parallel
cloth,kenté,0,02_english-twi-dictionary
cloth,ntoma,0,09_Twi-Dictionary_parallel
cloth,otãm,0,02_english-twi-dictionary
cloth,tam,0,09_Twi-Dictionary_parallel
clothe,fura ntama,0,02_english-twi-dictionary
clothe,hye atade,0,02_english-twi-dictionary
clothes,adurade,0,02_english-twi-dictionary
clothes,atade,0,02_english-twi-dictionary
clothes,atãm,0,02_english-twi-dictionary
clothes,clothing,0,02_english-twi-dictionary
clothes,nt,0,02_english-twi-dictionary
clothes,ntade,0,09_Twi-Dictionary_parallel
clothes,ntadeɛ,0,09_Twi-Dictionary_parallel
clothes,ntama,0,02_english-twi-dictionary
clothes,ntar,0,09_Twi-Dictionary_parallel
clothing,atade,0,05_elementary_social_studies_twi
cloud,Mununkum,0,03_science-glossary
cloud,omunuṅkum,0,02_english-twi-dictionary
cloud,osu a amũna,0,02_english-twi-dictionary
cloud,osuvisie,0,02_english-twi-dictionary
cloud,osuwisie,0,09_Twi-Dictionary_parallel
cloud,osuwisw,0,09_Twi-Dictionary_parallel
cloud,suwu-siw,0,09_Twi-Dictionary_parallel
cloudiness,osu a amũna,0,02_english-twi-dictionary
cloudy,wisiwisi,0,09_Twi-Dictionary_parallel
cloudy,wusiw,0,09_Twi-Dictionary_parallel
cloudy,wusiwusiw,0,09_Twi-Dictionary_parallel
clout,bɔ/bɔ obl,0,09_Twi-Dictionary_parallel
clout,ntamagow,0,09_Twi-Dictionary_parallel
clout,ntomago,0,09_Twi-Dictionary_parallel
clout,tangow,0,09_Twi-Dictionary_parallel
clout,tumi ne nkɛntɛnso,0,09_Twi-Dictionary_parallel
cloven,hwe cleave,0,09_Twi-Dictionary_parallel
clover,akwamfãnú,0,02_english-twi-dictionary
clown,a--fo,0,02_english-twi-dictionary
clown,habanasenyi,0,09_Twi-Dictionary_parallel
clown,nea ompoe,0,02_english-twi-dictionary
clown,ofumni,0,02_english-twi-dictionary
clown,y paserew,0,09_Twi-Dictionary_parallel
clown,yɔ aseredeɛ,0,09_Twi-Dictionary_parallel
clown,yɛ aserede,0,09_Twi-Dictionary_parallel
clown,ṅk--fo,0,02_english-twi-dictionary
cloy,do wũ,0,02_english-twi-dictionary
cloy,dɔr,0,09_Twi-Dictionary_parallel
cloy,dɔre,0,09_Twi-Dictionary_parallel
cloy,dɔrɔ,0,09_Twi-Dictionary_parallel
cloy,fɔn,0,09_Twi-Dictionary_parallel
cloy,fɔno,0,09_Twi-Dictionary_parallel
cloy,mẽ fù,0,02_english-twi-dictionary
cloy,mẽ tra so,0,02_english-twi-dictionary
club,aporiba,0,09_Twi-Dictionary_parallel
club,aporibaa,0,09_Twi-Dictionary_parallel
club,asabã,0,02_english-twi-dictionary
club,asafo,0,02_english-twi-dictionary
club,bo,0,09_Twi-Dictionary_parallel
club,bor,0,09_Twi-Dictionary_parallel
club,boro,0,09_Twi-Dictionary_parallel
club,dzi nokor,0,09_Twi-Dictionary_parallel
club,feku,0,02_english-twi-dictionary
club,fekuo,0,09_Twi-Dictionary_parallel
club,fekuw,0,09_Twi-Dictionary_parallel
club,hwe,0,09_Twi-Dictionary_parallel
club,ɔbo-praa,0,09_Twi-Dictionary_parallel
"club, cudgel",aboso-bā,0,17_A Dictionary of the Asante and Fante Language_mono
cluck,akokɔ bɔn,0,09_Twi-Dictionary_parallel
clue,ngyinado,0,09_Twi-Dictionary_parallel
clue,nnyinasode,0,09_Twi-Dictionary_parallel
clue,nyinasodeɛ,0,09_Twi-Dictionary_parallel
clumsiness,kàntãṅṅ,0,02_english-twi-dictionary
clumsiness,kìṅkaṅṅ,0,02_english-twi-dictionary
clumsiness,kùntãṅṅ,0,02_english-twi-dictionary
clumsiness,kùntũṅṅ -ye,0,02_english-twi-dictionary
clumsy,abobɔ nkuuku,0,09_Twi-Dictionary_parallel
clumsy,abokɔnkuku,0,09_Twi-Dictionary_parallel
clumsy,biribibrb,0,02_english-twi-dictionary
clumsy,mũmọmũmọ,0,02_english-twi-dictionary
clumsy,nea enye fe,0,02_english-twi-dictionary
clumsy,popokyikyi,0,09_Twi-Dictionary_parallel
clumsy,tan,0,09_Twi-Dictionary_parallel
clumsy,tantaṅ,0,02_english-twi-dictionary
cluster,ano,0,09_Twi-Dictionary_parallel
cluster,asĩau,0,02_english-twi-dictionary
cluster,asĩá,0,02_english-twi-dictionary
cluster,bemũ,0,02_english-twi-dictionary
cluster,boa,0,09_Twi-Dictionary_parallel
cluster,brodeduru,0,02_english-twi-dictionary
cluster,fofore,0,02_english-twi-dictionary
cluster,fɔr,0,09_Twi-Dictionary_parallel
cluster,fɔre,0,09_Twi-Dictionary_parallel
cluster,kasĩa,0,02_english-twi-dictionary
cluster,kw. duru,0,02_english-twi-dictionary
cluster,kwadud. n. a.,0,02_english-twi-dictionary
cluster,oduro,0,09_Twi-Dictionary_parallel
cluster,siaw,0,09_Twi-Dictionary_parallel
clutch,kitsa,0,09_Twi-Dictionary_parallel
clutch,kuta,0,09_Twi-Dictionary_parallel
clutch,mia,0,09_Twi-Dictionary_parallel
clutch,mĩa,0,02_english-twi-dictionary
clutch,so mu,0,02_english-twi-dictionary
clyster-pipe,bentoa hãma,0,02_english-twi-dictionary
"clyster-pipe, syringe, squirt",bɛntoa,0,17_A Dictionary of the Asante and Fante Language_mono
clysterize,bo bentoa,0,02_english-twi-dictionary
clysterize,sa,0,02_english-twi-dictionary
clysterize,tua màkó,0,02_english-twi-dictionary
co-operate,bɔ mu yɔ,0,09_Twi-Dictionary_parallel
co-operate,bɔ mu yɛ,0,09_Twi-Dictionary_parallel
co-operation,nkabom,0,09_Twi-Dictionary_parallel
co-operation,nkabomu,0,09_Twi-Dictionary_parallel
co-operation,nkabɔmu,0,09_Twi-Dictionary_parallel
co-ordinate,miamia mu,0,09_Twi-Dictionary_parallel
co-ordinate,se,0,02_english-twi-dictionary
co-ordinate,se so,0,02_english-twi-dictionary
co-ordinate,sĩãne,0,02_english-twi-dictionary
co-ordination,denhyɛ,0,09_Twi-Dictionary_parallel
co-ordination,dzenhyɛ,0,09_Twi-Dictionary_parallel
co-ordinator,nkɔsoɔhene,0,09_Twi-Dictionary_parallel
co-perative,adwadie ahyenyɛdɛ,0,09_Twi-Dictionary_parallel
coacervate,Koaseveeti,0,07_hs_living_environment_twi_parallel
coach,kyerɛkyerɛ,0,09_Twi-Dictionary_parallel
coach,teaseenam,0,02_english-twi-dictionary
coach,teaseɛnam,0,09_Twi-Dictionary_parallel
coadjutor,a,0,02_english-twi-dictionary
coadjutor,oboafo,0,02_english-twi-dictionary
coagulate,bɔ towa,0,09_Twi-Dictionary_parallel
coagulate,bɔ tɔw,0,09_Twi-Dictionary_parallel
coal,Asaase mu bidie,0,03_science-glossary
coal,amãne,0,02_english-twi-dictionary
coal,asasebidie,0,07_hs_living_environment_twi_parallel
coal,asasebiri,0,07_hs_living_environment_twi_parallel
coal,birie,0,09_Twi-Dictionary_parallel
coal,biriw,0,09_Twi-Dictionary_parallel
coal,gya,0,02_english-twi-dictionary
coal,gyabiru,0,02_english-twi-dictionary
coal,gyabiru-ṅkőrőṅ,0,02_english-twi-dictionary
coal,àmã,0,02_english-twi-dictionary
coalition,Akuwakuw nkabom,0,11_hs_us_history_twi_parallel
coalition,apãm,0,02_english-twi-dictionary
coalition,biakőye,0,02_english-twi-dictionary
coalition,nkabomu,0,09_Twi-Dictionary_parallel
coarse,aŵere-aŵere,0,02_english-twi-dictionary
coarse,piprī,0,02_english-twi-dictionary
coarse,weserekaa,0,09_Twi-Dictionary_parallel
coarse,weserekā,0,02_english-twi-dictionary
coarse,woserekaa,0,09_Twi-Dictionary_parallel
coarse,wurikīrē,0,02_english-twi-dictionary
coarse,wěwěrē,0,02_english-twi-dictionary
coarse,ɔha afoforɔ,0,09_Twi-Dictionary_parallel
coast,Mpoano,0,07_hs_living_environment_twi_parallel
coast,mpoano,0,09_Twi-Dictionary_parallel
coast,mpoãno,0,02_english-twi-dictionary
coast,ɔresane bepɔ,0,09_Twi-Dictionary_parallel
coast lines,Mpoano,0,11_hs_us_history_twi_parallel
coaster,ɛhyɛn,0,09_Twi-Dictionary_parallel
coastline,mpoano pɛɛ,0,07_hs_living_environment_twi_parallel
coat,aboa nwli,0,09_Twi-Dictionary_parallel
coat,ataade-soro duruduro bi,0,09_Twi-Dictionary_parallel
coat,ataadeɛ,0,09_Twi-Dictionary_parallel
coat,atade,0,02_english-twi-dictionary
coat,kata so,0,09_Twi-Dictionary_parallel
coat,n,0,02_english-twi-dictionary
coat,nkataho,0,09_Twi-Dictionary_parallel
coat of arms,oman,0,09_Twi-Dictionary_parallel
coat of mall,akotaadeɛ,0,09_Twi-Dictionary_parallel
coat of mall,nka-taboɔ,0,09_Twi-Dictionary_parallel
coax,defedefe,0,02_english-twi-dictionary
coax,dɛfɛdɛfɛ,0,09_Twi-Dictionary_parallel
cob,aburo dua,0,09_Twi-Dictionary_parallel
cob,aburow dua,0,09_Twi-Dictionary_parallel
cob,eburow tu,0,09_Twi-Dictionary_parallel
cobalt,kobɔlt,0,06_hs_chemistry_twi
cobbler,asepatere-mutãfo,0,02_english-twi-dictionary
cobbler,asepateremutafo,0,09_Twi-Dictionary_parallel
cobbler,asopaatsee mu tafo,0,09_Twi-Dictionary_parallel
cobbler,asopateremutafoɔ,0,09_Twi-Dictionary_parallel
cobra,ɔkyerebene,0,09_Twi-Dictionary_parallel
cobweb,ananse-hũhũa,0,02_english-twi-dictionary
cobweb,ntentan,0,09_Twi-Dictionary_parallel
cobweb,ntontan,0,09_Twi-Dictionary_parallel
cobweb,ntőntaṅ,0,02_english-twi-dictionary
cocci,aboawa,0,07_hs_living_environment_twi_parallel
cocci,baatiiria,0,07_hs_living_environment_twi_parallel
coccus,aboawa,0,07_hs_living_environment_twi_parallel
coccus,baatiiria,0,07_hs_living_environment_twi_parallel
cock,ako-kɔnyin,0,09_Twi-Dictionary_parallel
cock,akokoṅini,0,02_english-twi-dictionary
cock,akokɔnini,0,09_Twi-Dictionary_parallel
cock,akokɔninin,0,09_Twi-Dictionary_parallel
cock,kyea,0,09_Twi-Dictionary_parallel
cock,kãntamma,0,02_english-twi-dictionary
cock,otnokote,0,02_english-twi-dictionary
cockcrowing,akokobone,0,02_english-twi-dictionary
cockroach,kakraka,0,09_Twi-Dictionary_parallel
cockroach,kakárakà,0,02_english-twi-dictionary
cockroach,tefrɛ,0,07_hs_living_environment_twi_parallel
cockroach,téfére,0,02_english-twi-dictionary
cockroach,tɛfrɛ,0,09_Twi-Dictionary_parallel
cockroach,tɛfrɛw,0,09_Twi-Dictionary_parallel
cockroach,ṅŵereŵerewa,0,02_english-twi-dictionary
cockscomb,akokɔ kyerɛ,0,09_Twi-Dictionary_parallel
cocksureness,ahohoahoa,0,09_Twi-Dictionary_parallel
coco,amaṅkãní,0,02_english-twi-dictionary
coco,antwibo,0,02_english-twi-dictionary
coco,kókò,0,02_english-twi-dictionary
cocoa,kokoɔ,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
cocoa-nut,k. dua,0,02_english-twi-dictionary
cocoa-nut,kokosi,0,02_english-twi-dictionary
coconut,kube,0,09_Twi-Dictionary_parallel
cocoon,Amankuo,0,07_hs_living_environment_twi_parallel
cocoon,hũhũa,0,02_english-twi-dictionary
cocoon,kónnore bũ,0,02_english-twi-dictionary
cocoon,kótòkúsãabòbé-ghòmé ṅhòmé,0,02_english-twi-dictionary
code,Kodu ahyɛnsode/akwankyerɛ,0,03_science-glossary
code,mbra,0,09_Twi-Dictionary_parallel
code,mmara,0,09_Twi-Dictionary_parallel
code,mmãra-ṅhõma,0,02_english-twi-dictionary
coded entrances,ɛdɛtronik nnwi-nadeɛ,0,09_Twi-Dictionary_parallel
codicil,nkekaho,0,09_Twi-Dictionary_parallel
codicil,saman-sew samanseɛ,0,09_Twi-Dictionary_parallel
codicil,samanse ṅkekãhõ,0,02_english-twi-dictionary
codicil,samansew,0,09_Twi-Dictionary_parallel
codification,mmăra-mmoaano,0,02_english-twi-dictionary
coefficients,kɔɛfihyieŋti,0,06_hs_chemistry_twi
coerce,bo.. hye,0,02_english-twi-dictionary
coerce,ka hyɛ,0,09_Twi-Dictionary_parallel
coerce,kã.. hye mu,0,02_english-twi-dictionary
coerce,nhyɛ,0,09_Twi-Dictionary_parallel
coerce,si.. kwaṅ,0,02_english-twi-dictionary
coercion,ahunahuna,0,09_Twi-Dictionary_parallel
coffee,twa k.,0,02_english-twi-dictionary
coffer,ṅhõma-ad,0,02_english-twi-dictionary
coffin,efunu adaka,0,09_Twi-Dictionary_parallel
coffin,fundaka,0,09_Twi-Dictionary_parallel
coffin,funu-adaka,0,02_english-twi-dictionary
cog,se,0,09_Twi-Dictionary_parallel
cog,ɛse,0,09_Twi-Dictionary_parallel
cogency,ahõdeṅ,0,02_english-twi-dictionary
cogency,asekyerɛ pa,0,09_Twi-Dictionary_parallel
cogency,nkyerɛase pa,0,09_Twi-Dictionary_parallel
cogency,tumi di,0,02_english-twi-dictionary
cogent,titiɛ,0,09_Twi-Dictionary_parallel
cogent,titiɛw,0,09_Twi-Dictionary_parallel
cogitate,susu ho,0,09_Twi-Dictionary_parallel
cogitation,adwen,0,09_Twi-Dictionary_parallel
cogitation,asem-dwen,0,02_english-twi-dictionary
cognition,nim,0,02_english-twi-dictionary
cognition,nyim 2,0,09_Twi-Dictionary_parallel
cognition,ohũ a wohũ,0,02_english-twi-dictionary
cognition,onim,0,09_Twi-Dictionary_parallel
cognition,ote a wote,0,02_english-twi-dictionary
cognition,tumi kae adeɛ,0,09_Twi-Dictionary_parallel
cognizance,nyim 2,0,09_Twi-Dictionary_parallel
cognizance,onim,0,09_Twi-Dictionary_parallel
cognizance,tumi kae adeɛ,0,09_Twi-Dictionary_parallel
cohabit,bom tena,0,09_Twi-Dictionary_parallel
cohabit,bom tra,0,09_Twi-Dictionary_parallel
cohabit,bɔ mu tsena,0,09_Twi-Dictionary_parallel
cohabit,di,0,02_english-twi-dictionary
cohabit,ko obã hõ,0,02_english-twi-dictionary
cohere,fomfam ho,0,09_Twi-Dictionary_parallel
cohere,toa mu,0,09_Twi-Dictionary_parallel
coherent,esisiso ɛtoatoam,0,04_mathematics-glossary
cohesion,mfomfamho,0,09_Twi-Dictionary_parallel
cohesion,mfõmfãmhõ,0,02_english-twi-dictionary
cohort,nsrafoku,0,02_english-twi-dictionary
coil,bobọu,0,02_english-twi-dictionary
coil,ntampe,0,02_english-twi-dictionary
coin,dare,0,02_english-twi-dictionary
coin,dwẹte-bọnã,0,02_english-twi-dictionary
coin,sikádare,0,02_english-twi-dictionary
coincide,bọ mu pẹ,0,02_english-twi-dictionary
coincide,hyia,0,02_english-twi-dictionary
coincide,hyla,0,09_Twi-Dictionary_parallel
coincide,mu,0,02_english-twi-dictionary
coincidence,ohyla,0,09_Twi-Dictionary_parallel
coincidence,ɛne no abehyia,0,08_hs_physics_twi_parallel
coing,di abooboo,0,09_Twi-Dictionary_parallel
cojecture,nsusul,0,09_Twi-Dictionary_parallel
cojecture,nsusule,0,09_Twi-Dictionary_parallel
cojecture,nsusuwli,0,09_Twi-Dictionary_parallel
cojecture,susu,0,09_Twi-Dictionary_parallel
cojecture,susuw,0,09_Twi-Dictionary_parallel
cola,bese,0,09_Twi-Dictionary_parallel
cola-nut,bẹsẹ-pa,0,02_english-twi-dictionary
cola-nut,hene,0,02_english-twi-dictionary
cola-nut,kyĩm,0,02_english-twi-dictionary
cola-nut,wild bẹsẹtọro,0,02_english-twi-dictionary
cold,awọu,0,02_english-twi-dictionary
cold,catarrh,0,02_english-twi-dictionary
cold,catarrh ọpakum,0,02_english-twi-dictionary
cold,fọnono,0,02_english-twi-dictionary
cold,indisposition asorokã,0,02_english-twi-dictionary
cold,nwin,0,09_Twi-Dictionary_parallel
cold,nwinl,0,09_Twi-Dictionary_parallel
cold,nwunu,0,09_Twi-Dictionary_parallel
cold,oṅwĩni,0,02_english-twi-dictionary
cold,papŭṅ,0,02_english-twi-dictionary
cold,wirikukuiku,0,09_Twi-Dictionary_parallel
cold,yurududu,0,09_Twi-Dictionary_parallel
cold front,Mframa nwununwunu,0,03_science-glossary
colds,awɔ,0,09_Twi-Dictionary_parallel
colds,awɔw,0,09_Twi-Dictionary_parallel
colds,mframa,0,09_Twi-Dictionary_parallel
colds,opakum,0,09_Twi-Dictionary_parallel
colds,ɔpapu,0,09_Twi-Dictionary_parallel
colic,ayamkeka,0,09_Twi-Dictionary_parallel
colic,ayamukeka,0,09_Twi-Dictionary_parallel
coll,bobɔw,0,09_Twi-Dictionary_parallel
